,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
223,2,6,549,100,100,9,37869,0,0,-1,1,65.3,2,176,2,1.0,-0.5,6,Ryan,0.0,53,1,119.3,318,False,732.2,0,0,0,0,3150,,49,2,0,0,37869.jpg,2.7,0,0,Shawcross,1.7,False,17,a,14,110,395.0,94,92207,0,113470,0,0.0,19.2,Shawcross,6,67,99
224,1,5,340,100,100,6,50089,0,0,-3,3,165.0,1,293,2,1.5,-0.5,12,Geoff,0.0,25,0,69.6,320,False,354.4,0,0,0,0,1629,,42,0,0,0,50089.jpg,3.1,0,0,Cameron,0.4,False,20,a,14,110,174.0,58,30947,0,30942,0,0.0,13.8,Cameron,1,33,37
225,2,9,614,100,100,10,39487,0,0,1,-1,353.8,1,388,2,0.0,-0.5,6,Erik,0.0,50,0,107.1,321,False,583.2,0,0,0,0,3151,,46,0,0,0,39487.jpg,2.9,0,0,Pieters,6.7,False,3,a,14,110,130.0,103,477400,0,389505,0,0.0,22.4,Pieters,5,71,71
226,0,3,153,100,100,3,61595,0,0,-5,5,59.7,1,111,2,1.0,-0.5,1,Marc,0.0,7,1,28.2,322,False,172.4,0,0,0,0,650,,40,0,0,0,61595.jpg,3.4,0,0,Muniesa,0.8,False,5,a,14,110,50.0,34,73817,0,51802,0,0.0,8.5,Muniesa,2,0,0
227,0,0,174,100,100,3,17997,0,0,-3,3,146.7,0,107,2,-0.5,-0.5,0,Phil,0.0,17,0,35.4,323,False,155.0,0,0,0,0,1168,,42,0,0,0,17997.jpg,1.8,1,0,Bardsley,0.1,False,2,a,14,110,51.0,27,9225,0,11939,0,0.0,6.4,Bardsley,4,33,85
228,0,3,376,100,100,6,9047,0,0,-3,3,176.1,0,324,2,1.5,-0.5,0,Glen,0.0,34,0,62.8,325,False,350.0,0,0,0,0,1957,,47,0,0,0,9047.jpg,2.4,0,0,Johnson,0.1,False,8,a,14,110,101.0,56,14530,0,20288,0,0.0,11.9,Johnson,1,5,2
241,0,1,342,75,0,4,37742,0,0,-2,2,31.5,0,231,2,0.0,0.0,0,Younes,0.0,36,2,71.8,341,False,443.2,0,0,0,0,1910,Hamstring injury - 75% chance of playing,43,0,0,0,37742.jpg,2.5,0,0,Kaboul,0.6,False,4,d,18,57,243.0,57,61802,0,68404,0,0.0,13.3,Kaboul,2,7,1
242,1,9,534,100,100,5,74230,0,0,-1,1,534.2,4,369,2,0.6,-1.0,1,Patrick,0.0,53,5,153.5,344,False,616.0,0,0,0,0,2498,,49,0,0,0,74230.jpg,3.1,0,0,van Aanholt,3.6,False,3,a,5,31,383.0,98,284385,0,364735,0,0.0,20.0,van Aanholt,3,95,117
246,0,7,528,100,100,8,49539,0,0,-1,1,407.5,1,239,2,7.0,0.0,2,Kyle,0.0,48,1,121.3,358,False,589.0,0,0,0,0,2714,,44,1,0,0,49539.jpg,2.6,0,0,Naughton,2.1,False,26,a,16,80,216.0,82,104537,0,63284,0,0.0,18.6,Naughton,5,101,85
247,3,9,739,100,100,13,19159,0,0,2,-2,119.1,2,487,2,3.5,0.0,0,Ashley,0.0,40,1,133.9,359,False,927.6,0,0,0,0,3160,,52,0,0,0,19159.jpg,3.5,1,0,Williams,8.7,False,5,a,6,11,289.0,127,540492,0,496130,0,0.0,24.4,Williams,7,56,71
