,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
105,2,9,655,100,100,16,116594,0,0,-1,1,638.2,0,0,3,2.9,2.8,2,N'Golo,2.3,32,1,151.7,111,False,676.0,0,0,0,0,2994,,2018-03-04T16:01:16Z,49,0,0,0,116594.jpg,3.0,0,0,Kanté,11.7,False,7,a,5,8,199.0,101,823596,0,1210394,0,0.5,20.6,Kanté,3,116,98
107,0,0,11,100,100,0,88894,0,0,-2,2,34.7,0,0,3,0.5,0.8,2,Ross,0.3,4,0,10.1,149,False,21.0,0,0,0,0,129,,2018-03-09T14:31:17Z,73,0,0,0,88894.jpg,1.5,0,0,Barkley,0.2,False,8,a,5,8,45.0,3,5701,0,14693,0,0.0,0.4,Barkley,0,79,0
108,0,1,117,100,100,1,61603,0,0,-3,3,88.1,1,0,3,0.5,0.5,0,Daniel,0.0,7,1,25.7,202,False,116.4,0,0,0,0,520,,2018-01-19T23:01:18Z,47,0,0,0,61603.jpg,2.0,0,0,Drinkwater,0.2,False,6,a,5,8,54.0,24,15834,0,24682,0,0.0,5.1,Drinkwater,0,0,0
109,2,5,346,100,100,11,169102,0,0,-1,1,279.5,1,0,3,2.1,2.0,1,Tiemoué,1.5,24,2,113.2,463,False,415.4,0,0,0,0,2121,,2018-03-10T17:01:18Z,49,0,0,0,169102.jpg,2.7,1,0,Bakayoko,1.2,False,14,a,5,8,434.0,77,359695,0,351226,0,0.3,15.7,Bakayoko,3,0,76
113,0,0,6,0,0,0,199598,0,0,0,0,0.0,0,0,3,0.0,0.0,0,Ethan,0.0,1,0,0.7,558,False,7.4,0,0,0,0,10,Ankle injury - Unknown return date,2018-03-10T17:01:18Z,45,0,0,0,199598.jpg,1.0,0,0,Ampadu,0.0,False,44,i,5,8,0.0,1,836,0,737,0,0.0,0.2,Ampadu,0,0,0
114,0,0,11,None,None,0,209046,0,0,0,0,1.7,0,0,3,0.5,0.5,0,Callum,0.0,1,0,3.8,583,False,8.8,0,0,0,0,27,,None,45,0,0,0,209046.jpg,1.0,0,0,Hudson-Odoi,0.0,False,70,a,5,8,27.0,2,582,0,435,0,0.0,0.4,Hudson-Odoi,0,18,0
116,5,2,337,100,100,6,126187,0,0,-1,1,377.0,0,0,3,4.8,4.5,3,Ruben,4.0,30,2,124.5,108,False,379.2,0,0,0,0,1871,,2017-12-31T20:01:17Z,44,0,0,0,126187.jpg,3.2,0,0,Loftus-Cheek,3.5,False,8,a,6,31,487.0,77,541495,0,916533,0,0.9,17.5,Loftus-Cheek,1,79,79
126,0,0,38,75,75,0,19197,0,0,-6,6,93.9,0,0,3,0.4,0.4,0,Jason,0.0,14,0,25.1,125,False,46.4,0,0,0,0,574,Lack of match fitness - 75% chance of playing,2017-12-31T14:31:16Z,44,0,0,0,19197.jpg,1.1,0,0,Puncheon,0.3,False,42,d,6,31,112.0,11,12938,0,66619,0,0.0,2.5,Puncheon,5,15,15
127,7,8,404,100,100,10,82403,0,0,1,-1,716.9,2,0,3,9.3,9.5,10,Wilfried,9.0,31,9,251.0,126,False,668.0,0,0,0,0,2549,,2018-03-31T11:31:19Z,71,0,0,0,82403.jpg,4.7,0,0,Zaha,10.6,False,11,a,6,31,1125.0,136,1081802,0,1596184,0,1.3,19.2,Zaha,5,143,143
128,2,9,416,100,100,7,50471,0,0,-1,1,333.0,2,0,3,7.8,6.7,2,James,6.2,35,5,138.9,127,False,490.6,0,0,0,0,2425,,2018-01-02T20:01:18Z,44,0,0,0,50471.jpg,3.1,0,0,McArthur,4.7,False,18,a,6,31,566.0,101,423066,0,388652,0,1.4,23.0,McArthur,5,121,69
129,0,1,115,0,0,1,44343,0,0,-2,2,103.1,0,0,3,0.0,0.0,0,Bakary,0.0,10,3,46.9,130,False,143.2,0,0,0,0,466,Ankle injury - Unknown return date,2018-01-30T22:31:16Z,48,0,0,0,44343.jpg,2.3,0,0,Sako,0.1,False,26,i,6,31,227.0,36,20378,0,21948,0,0.0,7.5,Sako,0,4,4
130,9,7,552,100,100,9,60252,0,0,-4,4,1012.1,0,0,3,3.0,3.7,6,Andros,3.2,48,2,222.8,131,False,626.0,0,0,0,0,3120,,2018-01-20T14:01:19Z,56,0,0,0,60252.jpg,3.4,0,0,Townsend,1.4,False,10,a,6,31,587.0,121,155725,0,208062,0,0.6,21.6,Townsend,3,135,88
