,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
31,0,0,40,100,100,0,149484,0,0,-3,3,14.8,0,0,2,0.3,0.6,2,Tyrone,0.6,5,0,7.2,36,False,46.6,0,0,0,0,201,,2018-04-28T13:01:18Z,42,0,0,0,149484.jpg,0.8,0,0,Mings,0.2,False,26,a,2,91,10.0,3,2820,0,17854,0,0.1,0.7,Mings,1,5,0
32,3,8,642,100,100,6,126184,0,0,0,0,115.1,1,0,2,2.0,2.0,2,Nathan,2.0,59,2,133.5,38,False,932.4,0,0,0,0,3352,,2017-08-30T23:01:13Z,50,0,0,0,126184.jpg,2.7,0,0,Aké,6.1,False,5,a,2,91,287.0,102,473457,0,550652,0,0.4,20.4,Aké,5,120,67
45,0,0,10,None,None,0,222434,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Jack,0.0,2,0,0.6,570,False,6.2,0,0,0,0,71,,None,40,0,0,0,222434.jpg,1.0,0,0,Simpson,0.2,False,42,a,2,91,0.0,1,15826,0,8996,0,0.0,0.3,Simpson,0,10,0
50,1,7,637,None,None,10,83299,0,0,0,0,147.8,1,0,2,2.5,1.8,0,Lewis,3.3,54,1,157.9,55,False,1002.8,0,0,0,0,3420,,None,45,4,0,0,83299.jpg,2.6,0,0,Dunk,2.9,False,5,a,3,36,425.0,97,356298,0,275863,0,0.7,21.6,Dunk,7,91,67
51,2,7,614,100,100,10,61933,0,0,1,-1,98.9,1,0,2,1.5,1.2,1,Shane,2.7,52,0,148.9,56,False,1027.6,0,0,0,0,3292,,2017-12-16T18:01:15Z,46,0,0,0,61933.jpg,2.7,0,0,Duffy,2.9,False,22,a,3,36,361.0,100,444847,0,300665,0,0.6,21.7,Duffy,8,115,67
52,0,8,423,100,100,10,11352,0,0,0,0,174.1,0,0,2,2.1,1.5,0,Bruno,3.0,23,0,57.2,58,False,360.4,0,0,0,0,2014,,2017-09-15T19:01:13Z,45,0,0,0,11352.jpg,3.4,0,0,Saltor Grau,0.8,False,2,a,3,36,35.0,84,137877,0,109790,0,0.7,18.7,Bruno,3,46,91
53,0,5,369,100,100,6,42748,0,0,-1,1,154.6,1,0,2,2.1,1.5,0,Gaëtan,3.0,36,0,52.1,59,False,346.2,0,0,0,0,2237,,2018-03-10T23:01:17Z,44,1,0,0,42748.jpg,2.5,0,0,Bong,0.2,False,3,a,3,36,18.0,63,17582,0,14807,0,0.7,14.3,Bong,2,48,42
62,0,3,204,None,None,4,43808,0,0,-3,3,105.6,1,0,2,-1.5,-1.5,0,Markus,0.0,18,0,30.8,461,False,187.4,0,0,0,0,1178,,None,42,0,0,0,43808.jpg,2.7,0,0,Suttner,0.4,False,29,a,3,36,17.0,38,60188,0,83985,0,0.0,9.0,Suttner,0,0,91
65,0,0,183,100,100,0,74375,0,0,-1,1,99.2,0,0,2,-1.1,-1.2,0,Ezequiel,0.3,30,0,38.2,538,False,210.0,0,0,0,0,1313,,2018-03-04T15:01:17Z,44,0,0,0,74375.jpg,1.0,0,0,Schelotto,0.1,False,21,a,3,36,73.0,20,7784,0,4660,0,0.1,4.5,Schelotto,3,0,36
69,3,4,450,100,100,8,68983,0,0,-1,1,264.9,0,0,2,2.2,2.0,1,Matthew,2.0,26,0,89.0,76,False,574.6,0,0,0,0,2295,,2017-11-28T13:31:14Z,44,0,0,0,68983.jpg,3.4,0,0,Lowton,4.9,False,2,a,4,90,46.0,89,577366,0,362018,0,0.5,20.2,Lowton,1,34,34
70,0,6,491,0,0,9,51927,0,0,4,-4,74.5,1,0,2,0.0,0.0,0,Ben,0.0,27,0,117.3,77,False,748.6,0,0,0,0,2610,Shin injury - Unknown return date,2018-04-05T13:01:18Z,49,0,0,0,51927.jpg,3.1,0,0,Mee,7.3,False,6,i,4,90,349.0,90,1226095,0,1373674,0,0.0,18.4,Mee,5,81,81
71,1,9,484,100,100,9,40616,0,0,3,-3,270.9,1,0,2,2.2,2.0,1,Stephen,2.0,27,1,85.4,78,False,498.4,0,0,0,0,2460,,2017-12-12T21:01:14Z,48,0,0,0,40616.jpg,3.6,0,0,Ward,8.5,False,23,a,4,90,82.0,102,1749307,0,1535374,0,0.4,21.3,Ward,1,7,34
72,1,4,539,100,100,11,17761,0,0,1,-1,98.4,0,0,2,2.8,2.5,1,James,2.5,30,0,117.8,79,False,822.0,0,0,0,0,2790,,2018-04-22T12:31:18Z,46,0,0,0,17761.jpg,3.3,0,0,Tarkowski,5.1,False,5,a,4,90,253.0,101,852748,0,585772,0,0.5,22.0,Tarkowski,5,97,97
73,2,6,282,100,100,4,41674,0,0,1,-1,64.8,0,0,2,3.4,3.0,1,Kevin,3.0,21,1,74.5,80,False,460.0,0,0,0,0,1440,,2018-01-13T15:01:17Z,41,1,0,0,41674.jpg,3.6,0,0,Long,7.5,False,28,a,4,90,220.0,57,692407,0,405145,0,0.7,13.9,Long,1,16,16
74,0,0,132,100,100,2,103914,0,0,-3,3,86.8,0,0,2,0.0,0.0,0,Charlie,0.0,12,0,27.5,81,False,184.2,0,0,0,0,949,,2018-01-20T14:01:19Z,42,0,0,0,103914.jpg,2.1,0,0,Taylor,0.4,False,3,a,4,90,4.0,23,64431,0,59707,0,0.0,5.5,Taylor,3,82,33
86,0,0,193,100,100,4,17997,0,0,-5,5,117.5,0,0,2,0.0,0.0,0,Phil,0.0,13,0,38.3,334,False,229.4,0,0,0,0,1125,,2018-02-24T14:01:19Z,40,0,0,0,17997.jpg,2.5,0,0,Bardsley,0.3,False,26,a,4,90,35.0,33,81355,0,72287,0,0.0,8.3,Bardsley,5,33,33
95,6,25,913,None,None,15,41328,0,0,4,-4,535.7,4,0,2,4.5,4.0,1,César,3.5,38,2,167.5,97,True,967.4,0,0,0,0,3330,,None,69,1,0,0,41328.jpg,4.7,0,0,Azpilicueta,21.0,False,28,a,5,8,168.0,175,1565365,0,1138791,0,0.5,25.4,Azpilicueta,1,158,70
