,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
322,2,0,167,100,100,4,20452,0,0,-4,4,301.9,0,0,4,-0.5,-0.5,1,Shane,1.0,28,2,104.6,325,False,235.6,0,0,0,0,1570,,2018-04-14T11:31:20Z,56,0,0,0,20452.jpg,1.8,0,0,Long,0.5,False,7,a,14,20,512.0,53,50118,0,64859,0,0.2,9.5,Long,6,66,2
323,1,9,215,100,100,4,78356,0,0,-7,7,89.4,1,0,4,0.5,0.5,2,Charlie,2.0,15,7,107.7,326,False,302.8,0,0,0,0,1024,,2018-03-31T13:01:18Z,58,0,0,0,78356.jpg,3.0,0,0,Austin,1.4,False,10,a,14,20,689.0,72,484100,0,482256,0,0.3,12.4,Austin,2,46,23
324,0,10,204,100,100,4,61548,0,0,-8,8,133.9,1,0,4,0.3,0.0,0,Manolo,1.5,17,5,58.6,327,False,203.0,0,0,0,0,1067,,2018-02-03T14:01:20Z,62,0,0,0,61548.jpg,2.4,0,0,Gabbiadini,1.4,False,20,a,14,20,269.0,66,269429,0,502824,0,0.2,10.6,Gabbiadini,2,23,23
327,0,0,-1,None,None,0,220598,0,0,0,0,1.3,0,0,4,-1.5,-1.5,0,Michael,0.0,0,0,0.3,603,False,0.0,0,0,0,0,8,,None,45,0,0,0,220598.jpg,1.0,0,0,Obafemi,0.7,False,61,a,14,20,4.0,1,87473,0,50835,0,0.0,0.2,Obafemi,0,13,0
328,1,0,40,None,None,1,98914,0,0,-6,6,64.2,0,0,4,-1.5,-1.5,0,Guido,0.0,8,0,29.4,607,False,50.2,0,0,0,0,449,,None,59,0,0,0,98914.jpg,2.1,0,0,Carrillo,0.0,False,9,a,14,20,179.0,15,15692,0,13829,0,0.0,2.5,Carrillo,0,0,0
333,2,6,225,100,100,2,3773,0,0,-2,2,321.2,0,0,4,2.3,2.7,5,Peter,3.2,27,5,99.9,347,False,289.2,0,0,0,0,1551,,2018-02-09T23:01:19Z,48,0,0,0,3773.jpg,2.4,0,0,Crouch,2.4,False,25,a,15,110,390.0,73,387237,0,402280,0,0.7,15.2,Crouch,4,8,0
338,2,12,382,100,100,7,80146,0,0,4,-4,350.4,0,0,4,3.5,3.3,2,Jordan,2.8,49,7,185.8,373,False,562.2,0,0,0,0,2850,,2018-03-10T16:31:18Z,54,0,0,0,80146.jpg,3.0,1,0,Ayew,9.5,False,18,a,16,80,944.0,108,1535368,0,1152190,0,0.5,20.0,Jordan Ayew,2,46,141
339,3,11,238,100,100,4,173879,0,0,-1,1,182.6,1,0,4,1.3,1.3,1,Tammy,0.8,31,5,114.2,374,False,269.2,0,0,0,0,1715,,2018-04-24T12:31:17Z,54,0,0,0,173879.jpg,2.8,0,0,Abraham,3.4,False,10,a,16,80,693.0,86,1332277,0,1348417,0,0.1,15.9,Abraham,0,0,168
340,0,2,70,100,100,1,19760,0,0,-2,2,66.7,0,0,4,1.4,1.3,0,Fernando,0.3,2,1,22.6,371,False,60.2,0,0,0,0,224,,2017-09-09T13:01:15Z,73,0,0,0,19760.jpg,1.4,0,0,Llorente,0.2,False,18,a,17,6,99.0,22,25294,0,29080,0,0.0,3.0,Llorente,1,41,90
357,2,31,781,100,100,15,78830,0,0,6,-6,502.1,8,0,4,5.8,7.0,12,Harry,6.0,34,29,407.4,394,True,1214.4,0,0,0,0,3074,,2018-03-11T17:01:18Z,131,0,1,0,78830.jpg,5.9,0,0,Kane,37.7,False,10,a,17,6,2355.0,217,5323924,0,5113596,0,0.5,16.6,Kane,5,160,160
358,0,0,2,0,0,0,165990,0,0,-1,1,0.0,0,0,4,0.0,0.0,0,Vincent,0.0,0,0,0.0,395,False,0.0,0,0,0,0,1,Joined Fenerbahce on season-long loan,2017-09-08T16:01:14Z,74,0,0,0,165990.jpg,1.0,0,0,Janssen,0.1,False,9,u,17,6,0.0,1,999,0,9054,0,0.0,0.1,Janssen,0,3,0
